number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
7001, 0.421091, 0.163586, 0.129427, 0.111848, 0.113604, 0.055157, 0.005287, 0.517012, 0.239294, 0.344432, 0.41499, 18.01
7002, 0.346125, 0.167739, 0.165533, 0.134487, 0.103312, 0.065776, 0.017027, 0.457383, 0.551541, 0.598064, 0.310234, 21.06
7003, 0.370736, 0.166725, 0.158109, 0.122779, 0.102005, 0.066841, 0.012804, 0.441497, 0.504183, 0.486388, 0.323009, 20.01
7004, 0.366765, 0.168772, 0.163561, 0.125115, 0.096686, 0.066581, 0.012521, 0.467816, 0.476191, 0.468856, 0.320958, 20.07
7005, 0.381135, 0.165698, 0.154185, 0.122669, 0.098561, 0.064497, 0.013255, 0.380409, 0.444996, 0.397652, 0.29726, 19.85
7006, 0.422468, 0.153739, 0.140228, 0.116795, 0.089699, 0.05964, 0.017432, 0.303402, 0.264621, 0.136687, 0.248999, 15.27
7007, 0.35421, 0.170279, 0.163207, 0.125497, 0.105176, 0.06699, 0.01464, 0.478927, 0.487746, 0.522031, 0.400303, 20.83
7008, 0.347143, 0.173981, 0.160569, 0.130001, 0.108524, 0.06732, 0.012462, 0.438805, 0.564006, 0.448578, 0.245947, 20.35
7009, 0.353172, 0.187777, 0.142186, 0.126682, 0.126907, 0.054894, 0.008382, 0.697358, 0.455589, 0.57827, 0.503377, 20.38
7010, 0.348941, 0.175284, 0.159226, 0.127407, 0.106249, 0.069607, 0.013286, 0.412139, 0.502689, 0.509545, 0.395149, 19.8
7011, 0.323993, 0.17174, 0.194629, 0.137079, 0.092702, 0.070177, 0.00968, 0.700919, 0.649772, 0.723317, 0.688602, 20.39
7012, 0.341104, 0.168826, 0.181019, 0.137154, 0.094525, 0.066669, 0.010703, 0.678541, 0.497374, 0.572186, 0.591768, 19.7
7013, 0.345148, 0.174418, 0.161479, 0.127482, 0.10722, 0.070646, 0.013606, 0.44379, 0.544175, 0.470234, 0.394789, 19.29
7014, 0.366616, 0.174776, 0.153107, 0.119197, 0.106663, 0.066249, 0.013392, 0.574609, 0.523669, 0.525939, 0.267038, 19.28
7015, 0.366055, 0.167993, 0.159818, 0.128398, 0.098456, 0.06419, 0.01509, 0.484794, 0.585983, 0.575785, 0.445728, 20.07
