number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
6001, 0.412378, 0.163111, 0.152745, 0.115014, 0.08069, 0.063747, 0.012316, 0.535421, 0.482871, 0.435671, 0.315641, 16.37
6002, 0.383493, 0.169353, 0.159815, 0.114513, 0.090107, 0.070149, 0.012571, 0.53629, 0.490807, 0.547682, 0.280918, 18.76
6003, 0.390505, 0.168142, 0.157547, 0.113592, 0.092402, 0.065365, 0.012446, 0.520598, 0.450703, 0.445221, 0.391285, 19.19
6004, 0.391541, 0.155353, 0.158291, 0.118639, 0.094915, 0.066516, 0.014744, 0.562566, 0.391603, 0.437861, 0.391872, 19.94
6005, 0.407326, 0.153631, 0.155785, 0.112821, 0.091523, 0.066526, 0.012388, 0.419316, 0.421129, 0.405731, 0.296914, 18.62
6006, 0.399268, 0.165971, 0.157603, 0.113633, 0.084264, 0.065671, 0.01359, 0.50885, 0.432982, 0.374308, 0.297909, 16.1
6007, 0.405835, 0.153073, 0.15899, 0.108096, 0.098584, 0.064468, 0.010954, 0.437263, 0.392818, 0.568421, 0.420475, 20.63
6008, 0.445563, 0.147883, 0.139431, 0.10345, 0.099716, 0.058626, 0.005331, 0.671231, 0.377452, 0.63202, 0.541478, 18.87
6009, 0.440321, 0.145789, 0.137689, 0.104095, 0.10632, 0.060212, 0.005574, 0.557731, 0.48405, 0.550826, 0.444443, 18.6
6010, 0.387449, 0.169815, 0.161904, 0.110425, 0.091497, 0.066617, 0.012292, 0.410571, 0.454539, 0.500355, 0.432052, 18.81
6011, 0.388097, 0.177468, 0.150001, 0.117351, 0.089865, 0.06395, 0.013268, 0.540235, 0.496649, 0.5545, 0.351427, 20.59
6012, 0.393805, 0.167101, 0.154038, 0.112387, 0.093187, 0.068237, 0.011244, 0.434068, 0.366571, 0.480721, 0.242501, 20.64
6013, 0.383961, 0.169837, 0.155611, 0.115495, 0.091488, 0.070729, 0.01288, 0.463129, 0.395761, 0.509974, 0.332208, 18.75
6014, 0.409012, 0.156355, 0.140132, 0.123193, 0.102704, 0.060806, 0.007798, 0.440736, 0.310539, 0.449206, 0.326826, 18.62
6015, 0.397408, 0.155799, 0.159528, 0.114297, 0.095189, 0.065336, 0.012443, 0.545708, 0.423859, 0.52976, 0.394785, 19.87
6016, 0.391762, 0.156478, 0.157779, 0.116586, 0.095632, 0.069194, 0.012569, 0.370544, 0.390104, 0.433408, 0.313913, 19.34
6017, 0.391603, 0.157509, 0.156734, 0.115302, 0.097042, 0.068295, 0.013515, 0.515391, 0.481403, 0.561162, 0.326139, 20.99
6018, 0.380771, 0.169081, 0.155661, 0.119017, 0.100127, 0.061904, 0.013438, 0.553365, 0.499898, 0.517655, 0.356256, 20.36
6019, 0.403244, 0.166051, 0.147315, 0.113646, 0.093239, 0.06462, 0.011884, 0.46974, 0.396222, 0.502005, 0.398135, 19.54
6020, 0.374187, 0.164669, 0.157685, 0.123534, 0.104511, 0.061666, 0.013748, 0.505938, 0.627798, 0.523313, 0.348626, 19.57
6021, 0.400549, 0.154683, 0.152458, 0.11408, 0.096207, 0.067617, 0.014406, 0.484823, 0.401358, 0.398778, 0.332838, 18.74
6022, 0.411203, 0.1536, 0.152356, 0.112672, 0.09197, 0.064721, 0.013478, 0.475647, 0.449146, 0.452878, 0.388817, 18.95
6023, 0.4082, 0.15198, 0.153611, 0.1147, 0.093357, 0.064962, 0.01319, 0.354047, 0.303463, 0.327343, 0.300425, 19.46
6024, 0.404502, 0.15589, 0.152516, 0.114848, 0.094825, 0.063388, 0.014031, 0.481869, 0.451423, 0.375382, 0.351413, 18.35
6025, 0.39731, 0.169274, 0.143728, 0.111483, 0.093641, 0.070436, 0.014128, 0.260474, 0.259946, 0.158511, 0.305748, 16.51
6026, 0.354649, 0.169653, 0.165721, 0.125223, 0.105317, 0.065004, 0.014433, 0.445626, 0.560673, 0.598651, 0.457902, 20.52
6027, 0.415902, 0.165668, 0.133216, 0.108075, 0.092866, 0.069833, 0.014439, 0.279622, 0.302473, 0.201737, 0.349924, 16.78
6028, 0.406571, 0.155433, 0.151589, 0.113552, 0.093828, 0.065375, 0.013651, 0.374369, 0.350557, 0.416135, 0.48455, 19.75
6029, 0.406768, 0.154118, 0.155355, 0.112887, 0.094192, 0.064525, 0.012155, 0.370604, 0.369939, 0.374048, 0.257393, 20.89
6030, 0.388957, 0.159755, 0.156189, 0.112263, 0.101009, 0.067191, 0.014636, 0.481657, 0.50397, 0.507903, 0.236357, 19.45
6031, 0.403203, 0.153068, 0.156609, 0.113342, 0.096303, 0.064556, 0.012919, 0.41196, 0.343331, 0.42143, 0.345485, 19.29
6032, 0.405282, 0.154525, 0.153222, 0.113008, 0.094029, 0.067379, 0.012554, 0.534362, 0.376041, 0.441169, 0.346194, 19.4
6033, 0.411016, 0.151514, 0.153056, 0.111072, 0.097083, 0.064035, 0.012224, 0.42899, 0.319277, 0.432132, 0.374541, 19.15
6034, 0.41198, 0.149901, 0.155206, 0.112013, 0.093766, 0.064469, 0.012666, 0.428141, 0.539979, 0.429137, 0.335499, 18.64
