number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
5001, 0.373683, 0.169194, 0.163055, 0.12225, 0.096827, 0.061698, 0.013294, 0.55266, 0.562212, 0.555822, 0.470537, 17.05
5002, 0.378599, 0.187033, 0.14064, 0.115232, 0.111412, 0.06416, 0.002925, 0.78832, 0.412229, 0.682714, 0.478104, 19.78
5003, 0.402329, 0.151837, 0.1596, 0.116057, 0.093541, 0.063244, 0.013392, 0.498006, 0.411266, 0.464728, 0.345746, 18.43
5004, 0.401331, 0.150683, 0.158903, 0.117049, 0.092812, 0.066184, 0.013038, 0.534357, 0.544498, 0.54958, 0.388176, 18.1
5005, 0.377974, 0.154469, 0.15949, 0.118543, 0.120952, 0.061106, 0.007467, 0.522821, 0.654922, 0.518794, 0.305856, 20.09
5006, 0.39469, 0.16115, 0.155976, 0.113392, 0.095975, 0.065782, 0.013035, 0.452642, 0.464638, 0.45029, 0.44032, 19.57
5007, 0.40523, 0.152669, 0.154201, 0.118954, 0.091642, 0.064257, 0.013047, 0.54326, 0.492268, 0.444603, 0.313936, 20.45
5008, 0.381641, 0.173603, 0.134479, 0.121708, 0.117648, 0.067009, 0.003912, 0.649563, 0.393627, 0.6902, 0.566771, 19.15
5009, 0.411344, 0.172394, 0.136142, 0.107562, 0.109269, 0.060206, 0.003084, 0.720883, 0.431729, 0.609476, 0.415635, 18.14
5010, 0.393491, 0.151373, 0.161536, 0.11881, 0.092893, 0.067735, 0.014162, 0.500485, 0.48148, 0.522765, 0.344175, 20.12
5011, 0.39765, 0.154764, 0.163338, 0.11443, 0.090252, 0.064439, 0.015128, 0.364364, 0.373089, 0.506634, 0.379352, 18.92
5012, 0.402853, 0.150773, 0.163149, 0.110673, 0.094165, 0.065132, 0.013255, 0.264445, 0.331591, 0.357709, 0.283389, 18.4
5013, 0.392403, 0.153842, 0.164392, 0.116275, 0.097028, 0.065416, 0.010644, 0.425708, 0.398391, 0.462475, 0.385844, 18.97
5014, 0.415132, 0.145569, 0.156813, 0.113279, 0.093493, 0.062718, 0.012996, 0.458017, 0.392495, 0.461334, 0.381103, 19.86
5015, 0.396738, 0.156331, 0.157177, 0.115368, 0.095255, 0.065967, 0.013164, 0.510768, 0.540051, 0.51973, 0.422356, 17.86
5016, 0.402579, 0.157622, 0.148331, 0.117037, 0.095162, 0.067581, 0.011687, 0.545758, 0.552804, 0.503508, 0.368301, 16.98
5017, 0.362051, 0.167165, 0.163379, 0.124172, 0.107621, 0.061418, 0.014195, 0.577398, 0.637526, 0.547033, 0.345231, 18.71
5018, 0.373254, 0.166003, 0.162575, 0.12212, 0.10087, 0.062645, 0.012533, 0.597481, 0.517426, 0.541904, 0.442731, 19.96
5019, 0.335527, 0.188628, 0.133497, 0.143125, 0.117195, 0.073737, 0.00829, 0.804025, 0.552855, 0.816297, 0.569562, 18.92
5020, 0.34575, 0.1839, 0.133095, 0.138535, 0.117569, 0.073686, 0.007464, 0.827532, 0.617014, 0.843837, 0.643685, 21.88
5021, 0.397089, 0.164167, 0.148915, 0.111984, 0.098636, 0.065586, 0.013623, 0.282127, 0.363582, 0.259649, 0.249914, 16.24
5022, 0.446931, 0.147943, 0.137496, 0.106688, 0.090495, 0.056934, 0.013513, 0.206735, 0.151718, 0.027441, 0.339012, 13.84
5023, 0.428774, 0.154728, 0.144974, 0.107851, 0.089005, 0.058803, 0.015865, 0.312712, 0.222529, 0.144337, 0.323129, 14.43
5024, 0.433447, 0.166393, 0.121981, 0.112755, 0.104662, 0.057309, 0.003453, 0.626262, 0.475508, 0.546959, 0.412329, 18.89
5025, 0.410189, 0.160543, 0.152695, 0.104027, 0.093349, 0.066974, 0.012222, 0.245868, 0.289552, 0.232895, 0.328795, 15.41
5026, 0.40901, 0.143891, 0.160898, 0.113003, 0.095661, 0.066075, 0.011462, 0.435348, 0.417103, 0.527102, 0.458384, 19.16
5027, 0.396078, 0.156374, 0.156763, 0.114876, 0.096082, 0.066724, 0.013104, 0.446759, 0.539659, 0.630484, 0.480258, 19.38
5028, 0.39033, 0.153323, 0.165558, 0.115066, 0.093979, 0.067642, 0.014101, 0.630693, 0.54987, 0.503449, 0.370927, 18.87
5029, 0.412383, 0.152811, 0.153834, 0.112878, 0.09303, 0.060767, 0.014297, 0.349862, 0.208529, 0.210061, 0.356419, 17.09
5030, 0.415374, 0.157246, 0.156773, 0.109565, 0.084444, 0.06381, 0.012787, 0.535536, 0.421743, 0.375595, 0.403815, 16.01
5031, 0.391847, 0.162723, 0.152047, 0.119521, 0.096286, 0.064794, 0.012781, 0.556228, 0.624417, 0.541863, 0.310308, 18.42
