number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
8001, 0.330969, 0.161572, 0.191484, 0.134219, 0.097012, 0.078839, 0.005906, 0.71118, 0.534963, 0.834806, 0.71692, 22.76
8002, 0.422004, 0.151456, 0.152956, 0.107519, 0.090485, 0.061712, 0.013868, 0.281029, 0.179831, 0.240348, 0.33045, 14.85
8003, 0.391997, 0.165757, 0.148763, 0.113046, 0.100112, 0.069136, 0.011189, 0.578171, 0.479673, 0.633457, 0.370463, 18.88
8004, 0.370102, 0.167453, 0.167584, 0.119531, 0.099659, 0.063022, 0.012649, 0.494376, 0.516034, 0.61399, 0.516135, 19.81
8005, 0.314425, 0.173209, 0.182209, 0.139625, 0.101961, 0.081071, 0.0075, 0.685719, 0.610883, 0.81492, 0.744754, 21.62
8006, 0.374973, 0.167494, 0.161912, 0.126377, 0.097264, 0.05934, 0.012641, 0.593264, 0.545973, 0.669663, 0.47138, 18.72
8007, 0.361925, 0.161496, 0.169536, 0.126099, 0.102842, 0.064514, 0.013588, 0.634077, 0.455033, 0.662415, 0.416663, 18.94
8008, 0.315704, 0.165435, 0.19582, 0.141349, 0.09984, 0.075226, 0.006627, 0.823859, 0.7004, 0.854727, 0.667611, 19.79
8009, 0.365754, 0.167474, 0.165724, 0.125785, 0.099269, 0.063693, 0.0123, 0.559603, 0.503363, 0.624561, 0.428643, 18.27
8010, 0.303039, 0.170713, 0.191823, 0.151393, 0.098897, 0.077315, 0.00682, 0.685174, 0.646816, 0.796592, 0.627849, 22.43
8011, 0.287917, 0.174317, 0.208275, 0.141273, 0.102256, 0.077286, 0.008677, 0.760475, 0.657678, 0.868145, 0.708325, 20.75
8012, 0.373808, 0.177129, 0.145915, 0.125529, 0.097222, 0.063355, 0.017042, 0.242088, 0.304552, 0.408411, 0.288132, 19.48
