number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
2043, 0.324676, 0.180841, 0.15973, 0.142316, 0.105555, 0.069788, 0.017095, 0.531769, 0.687803, 0.687816, 0.454129, 20.97
2044, 0.352959, 0.167691, 0.162384, 0.130339, 0.100901, 0.069359, 0.016367, 0.489383, 0.710682, 0.655229, 0.569043, 20.05
2045, 0.374113, 0.167251, 0.162339, 0.122653, 0.097852, 0.067175, 0.008619, 0.679732, 0.499994, 0.543228, 0.36739, 17.8
2046, 0.356216, 0.173961, 0.162744, 0.120136, 0.100184, 0.07762, 0.009139, 0.674512, 0.553489, 0.56556, 0.463956, 19.11
2047, 0.366651, 0.167992, 0.165441, 0.121423, 0.100773, 0.070515, 0.007206, 0.680687, 0.597937, 0.588494, 0.371927, 18.3
2048, 0.383896, 0.165443, 0.161744, 0.114961, 0.095481, 0.070538, 0.007937, 0.70316, 0.497007, 0.550154, 0.425729, 16.34
2049, 0.345191, 0.176943, 0.172265, 0.119797, 0.103121, 0.074446, 0.008237, 0.615565, 0.493918, 0.523491, 0.553325, 16.33
2050, 0.350106, 0.164988, 0.17362, 0.121441, 0.097916, 0.075741, 0.016188, 0.412224, 0.403255, 0.704162, 0.638547, 17.36
2051, 0.359093, 0.166075, 0.149209, 0.132942, 0.104951, 0.06778, 0.019951, 0.400188, 0.581985, 0.53184, 0.319173, 20.25
2052, 0.362377, 0.16472, 0.164319, 0.124448, 0.098007, 0.071257, 0.014872, 0.368198, 0.38953, 0.619633, 0.510118, 18.46
2053, 0.361139, 0.158707, 0.152067, 0.134276, 0.101299, 0.071971, 0.020542, 0.568911, 0.607905, 0.59572, 0.359782, 18.62
2054, 0.339229, 0.178356, 0.162413, 0.132607, 0.102374, 0.067445, 0.017576, 0.54086, 0.618028, 0.617126, 0.460914, 17.97
2055, 0.359963, 0.170362, 0.14696, 0.132508, 0.100578, 0.068006, 0.021623, 0.191143, 0.809946, 0.501084, 0.271685, 20.19
2056, 0.35092, 0.169745, 0.154887, 0.132987, 0.09951, 0.073923, 0.018029, 0.452426, 0.484312, 0.543313, 0.435207, 19.41
2057, 0.335009, 0.180194, 0.15988, 0.133703, 0.101033, 0.073725, 0.016455, 0.704006, 0.66939, 0.71397, 0.511129, 19.18
2058, 0.320478, 0.17527, 0.147565, 0.133132, 0.11303, 0.084588, 0.025938, 0.438611, 0.893656, 0.573581, 0.298626, 22.72
2059, 0.329628, 0.16486, 0.15495, 0.146098, 0.110235, 0.074171, 0.020058, 0.662364, 0.547894, 0.583749, 0.452123, 19.4
2060, 0.352236, 0.169791, 0.150599, 0.136561, 0.104808, 0.066479, 0.019525, 0.477452, 0.706117, 0.520768, 0.365043, 18.63
2061, 0.366182, 0.162079, 0.145587, 0.138028, 0.104733, 0.063642, 0.01975, 0.472565, 0.549626, 0.450586, 0.268595, 16.99
2062, 0.339311, 0.169506, 0.14756, 0.151703, 0.10544, 0.067948, 0.018531, 0.621086, 0.593162, 0.541289, 0.30766, 19.26
2063, 0.337913, 0.17745, 0.166939, 0.131533, 0.098182, 0.070371, 0.017611, 0.562706, 0.466924, 0.502829, 0.441913, 18.72
2064, 0.339777, 0.164359, 0.168064, 0.135562, 0.099375, 0.074632, 0.018232, 0.420617, 0.591024, 0.537556, 0.44338, 18.36
2065, 0.337256, 0.1674, 0.157396, 0.135277, 0.10892, 0.074596, 0.019154, 0.411927, 0.593852, 0.49147, 0.44741, 18.78
2066, 0.328892, 0.17614, 0.151427, 0.141159, 0.110042, 0.071233, 0.021107, 0.65716, 0.755371, 0.651009, 0.32955, 18.6
2067, 0.338138, 0.177273, 0.172179, 0.13235, 0.09924, 0.066572, 0.014248, 0.619242, 0.599858, 0.648015, 0.644057, 18.06
2068, 0.327951, 0.172829, 0.161966, 0.132571, 0.109727, 0.0778, 0.017156, 0.500122, 0.767826, 0.638606, 0.375063, 20.9
2069, 0.335701, 0.169502, 0.156401, 0.139849, 0.106211, 0.07499, 0.017345, 0.538691, 0.623639, 0.621128, 0.378891, 20.2
2070, 0.385138, 0.174162, 0.143028, 0.125237, 0.091952, 0.063298, 0.017185, 0.315317, 0.475464, 0.486221, 0.43532, 18.47
2071, 0.350169, 0.175497, 0.165791, 0.120392, 0.107884, 0.072338, 0.00793, 0.494468, 0.368113, 0.356272, 0.457068, 15.26
2072, 0.367239, 0.170997, 0.160062, 0.124798, 0.100176, 0.06816, 0.008568, 0.720438, 0.480405, 0.576022, 0.493327, 16.15
2073, 0.373242, 0.173336, 0.159085, 0.124677, 0.096231, 0.06621, 0.007219, 0.561298, 0.522403, 0.485215, 0.40065, 18.69
2074, 0.354039, 0.181801, 0.15545, 0.130091, 0.097788, 0.072709, 0.008122, 0.60945, 0.583486, 0.528389, 0.401143, 19.01
2075, 0.368412, 0.16659, 0.148973, 0.13049, 0.101271, 0.066333, 0.01793, 0.627769, 0.550972, 0.540233, 0.27906, 19.39
2076, 0.319852, 0.178031, 0.162774, 0.145982, 0.101877, 0.070624, 0.02086, 0.443408, 0.543284, 0.5663, 0.593872, 18.22
2077, 0.369489, 0.167455, 0.152261, 0.122685, 0.099858, 0.065407, 0.022845, 0.5618, 0.530794, 0.524878, 0.4776, 16.29
2078, 0.335201, 0.175656, 0.152465, 0.141134, 0.107233, 0.069281, 0.019031, 0.705975, 0.792418, 0.820738, 0.526396, 20.95
2079, 0.365547, 0.173779, 0.151411, 0.122749, 0.096459, 0.06942, 0.020635, 0.581536, 0.46967, 0.533016, 0.444717, 19.19
2080, 0.341386, 0.171151, 0.15449, 0.135117, 0.113215, 0.068182, 0.016459, 0.515076, 0.647881, 0.730929, 0.465029, 18.52
2081, 0.346499, 0.172399, 0.153732, 0.137154, 0.103055, 0.068438, 0.018722, 0.4434, 0.630213, 0.599722, 0.492548, 17.62
2082, 0.383567, 0.1719, 0.15506, 0.119043, 0.091227, 0.066462, 0.012741, 0.461127, 0.518323, 0.495289, 0.388242, 18.68
2083, 0.346813, 0.171722, 0.157786, 0.132812, 0.102337, 0.071151, 0.017378, 0.558836, 0.593115, 0.564241, 0.326121, 21.41
2084, 0.384025, 0.167588, 0.155496, 0.120643, 0.093168, 0.070981, 0.008098, 0.561779, 0.427913, 0.473469, 0.427621, 20.3
2085, 0.363052, 0.162286, 0.18651, 0.112943, 0.09467, 0.074242, 0.006298, 0.612703, 0.41273, 0.722656, 0.66229, 17.91
