number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
4001, 0.383563, 0.163197, 0.176399, 0.102742, 0.090509, 0.069128, 0.014461, 0.564799, 0.477443, 0.544737, 0.50917, 19.33
4002, 0.378522, 0.166442, 0.170549, 0.108445, 0.088669, 0.073129, 0.014245, 0.591168, 0.442262, 0.505385, 0.471394, 19.38
4003, 0.391978, 0.161525, 0.168409, 0.098493, 0.093898, 0.072131, 0.013566, 0.540282, 0.405405, 0.568011, 0.574671, 18.17
4004, 0.411891, 0.158504, 0.166159, 0.098994, 0.092625, 0.066908, 0.004919, 0.579564, 0.486562, 0.595016, 0.362216, 17.84
4005, 0.397574, 0.166428, 0.164406, 0.10226, 0.092301, 0.071591, 0.005439, 0.596733, 0.404945, 0.503997, 0.556916, 15.34
4006, 0.387819, 0.161248, 0.167951, 0.107047, 0.091245, 0.078637, 0.006053, 0.627437, 0.477543, 0.560811, 0.582376, 17.94
4007, 0.360382, 0.174805, 0.171539, 0.120598, 0.096486, 0.070704, 0.005487, 0.529426, 0.631782, 0.757307, 0.486333, 20.12
4008, 0.384993, 0.166391, 0.166593, 0.105304, 0.092274, 0.070111, 0.014335, 0.610752, 0.429187, 0.60532, 0.600206, 18.71
4009, 0.398914, 0.165822, 0.165081, 0.111163, 0.08473, 0.069495, 0.004795, 0.599919, 0.416076, 0.530495, 0.508889, 17.57
4010, 0.376918, 0.177572, 0.170997, 0.101557, 0.095592, 0.071657, 0.005707, 0.449394, 0.591377, 0.571008, 0.376992, 19.37
4011, 0.359316, 0.165976, 0.177866, 0.114496, 0.099022, 0.071583, 0.011741, 0.542485, 0.561651, 0.676983, 0.556742, 17.54
4012, 0.376045, 0.159451, 0.161722, 0.112516, 0.103359, 0.074851, 0.012057, 0.517842, 0.445139, 0.623931, 0.38902, 21.37
4013, 0.346956, 0.168025, 0.176305, 0.119116, 0.103767, 0.073584, 0.012246, 0.611282, 0.7039, 0.811261, 0.671158, 19.16
4014, 0.403625, 0.166639, 0.152387, 0.109028, 0.088618, 0.068501, 0.011201, 0.443964, 0.554346, 0.61558, 0.470281, 17.3
4015, 0.380611, 0.155573, 0.156987, 0.114613, 0.102693, 0.07595, 0.013574, 0.566583, 0.535401, 0.693388, 0.371538, 17.81
4016, 0.369719, 0.162298, 0.174206, 0.117913, 0.100881, 0.064864, 0.010119, 0.643076, 0.669177, 0.717566, 0.605934, 19.98
4017, 0.353242, 0.167668, 0.17989, 0.11713, 0.098807, 0.075127, 0.008136, 0.577907, 0.645549, 0.791482, 0.503896, 17.78
4018, 0.356771, 0.15982, 0.173756, 0.120943, 0.104934, 0.072806, 0.01097, 0.57666, 0.652389, 0.733928, 0.559713, 17.71
4019, 0.389166, 0.167143, 0.161464, 0.106622, 0.098982, 0.072737, 0.003885, 0.426209, 0.491002, 0.549932, 0.477788, 16.94
4020, 0.364905, 0.167591, 0.172374, 0.114256, 0.099965, 0.070018, 0.010891, 0.489643, 0.639386, 0.693913, 0.482203, 20.32
4021, 0.376511, 0.155055, 0.16788, 0.113195, 0.09854, 0.07531, 0.01351, 0.268184, 0.400018, 0.38364, 0.280984, 18.86
4022, 0.405597, 0.171113, 0.15443, 0.098684, 0.087164, 0.072135, 0.010877, 0.53893, 0.492402, 0.630191, 0.496301, 18.09
4023, 0.403613, 0.166927, 0.152781, 0.101253, 0.093398, 0.071727, 0.010302, 0.436681, 0.574566, 0.702046, 0.445254, 19.75
4024, 0.394624, 0.166459, 0.156823, 0.105181, 0.090689, 0.076272, 0.009953, 0.493984, 0.528133, 0.640046, 0.483974, 17.53
4025, 0.400143, 0.163923, 0.164142, 0.10268, 0.089343, 0.072315, 0.007454, 0.62825, 0.48652, 0.645935, 0.535617, 18.44
4026, 0.399191, 0.164541, 0.158575, 0.108486, 0.08583, 0.072452, 0.010925, 0.403093, 0.569082, 0.702386, 0.510026, 22.69
4027, 0.378013, 0.163121, 0.170617, 0.099721, 0.099904, 0.072733, 0.015891, 0.707684, 0.46818, 0.690059, 0.595555, 20.59
4028, 0.364464, 0.171825, 0.169714, 0.110921, 0.098201, 0.073715, 0.01116, 0.570715, 0.74075, 0.811665, 0.584672, 18.84
4029, 0.394535, 0.158812, 0.164593, 0.104804, 0.093335, 0.068854, 0.015066, 0.601207, 0.456546, 0.593777, 0.52852, 20.11
4030, 0.39085, 0.148627, 0.158635, 0.114841, 0.098753, 0.076187, 0.012107, 0.590272, 0.624509, 0.649642, 0.452207, 18.26
4031, 0.394965, 0.168666, 0.160274, 0.102641, 0.0951, 0.072365, 0.005989, 0.355034, 0.307303, 0.400537, 0.400075, 17.33
4032, 0.380831, 0.166186, 0.17007, 0.103633, 0.094866, 0.069452, 0.014963, 0.496559, 0.521078, 0.629043, 0.489073, 18.27
4033, 0.381633, 0.159668, 0.171901, 0.103422, 0.094853, 0.073513, 0.01501, 0.4665, 0.497807, 0.593272, 0.651656, 19.64
4034, 0.426031, 0.162808, 0.152938, 0.09855, 0.085098, 0.068959, 0.005616, 0.415383, 0.287478, 0.452567, 0.446956, 19.12
4035, 0.414867, 0.159871, 0.152616, 0.101774, 0.085831, 0.075362, 0.00968, 0.412033, 0.403664, 0.508382, 0.500929, 18.69
4036, 0.390554, 0.169609, 0.165933, 0.102467, 0.09239, 0.072722, 0.006326, 0.451763, 0.394775, 0.473281, 0.464009, 20.56
4037, 0.401759, 0.162742, 0.15334, 0.104114, 0.091872, 0.076569, 0.009603, 0.474254, 0.495765, 0.637376, 0.685323, 17.78
4038, 0.355461, 0.16682, 0.178173, 0.111607, 0.097748, 0.079909, 0.010283, 0.397815, 0.464053, 0.592579, 0.546624, 20.63
4039, 0.37967, 0.175873, 0.159899, 0.111272, 0.090701, 0.069068, 0.013516, 0.480785, 0.375925, 0.64659, 0.740802, 18.14
4040, 0.413489, 0.164106, 0.158423, 0.098092, 0.090328, 0.070472, 0.005089, 0.49377, 0.484111, 0.541853, 0.436874, 18.62
