number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
9001, 0.377397, 0.134122, 0.151069, 0.131693, 0.11977, 0.068358, 0.017591, 0.539559, 0.310751, 0.62633, 0.188212, 18.69
9002, 0.381546, 0.138872, 0.147036, 0.131752, 0.118317, 0.065546, 0.016931, 0.626651, 0.315852, 0.654246, 0.308074, 20.04
9003, 0.389876, 0.13326, 0.151655, 0.128565, 0.118624, 0.063952, 0.014067, 0.481767, 0.340058, 0.561809, 0.253524, 18.78
9004, 0.368473, 0.166753, 0.153374, 0.129026, 0.102565, 0.06782, 0.011989, 0.354028, 0.323274, 0.515952, 0.478551, 19.64
9005, 0.394115, 0.137963, 0.145053, 0.126525, 0.117883, 0.064011, 0.014451, 0.634381, 0.354383, 0.559149, 0.213669, 19.44
9006, 0.377626, 0.136808, 0.153524, 0.131114, 0.121819, 0.062101, 0.017008, 0.653194, 0.132381, 0.595809, 0.251453, 18.38
9007, 0.377574, 0.137634, 0.143309, 0.139871, 0.116659, 0.066197, 0.018755, 0.635536, 0.225396, 0.608158, 0.291231, 19.32
9008, 0.386832, 0.137802, 0.146225, 0.131513, 0.119724, 0.063503, 0.0144, 0.531124, 0.162155, 0.591368, 0.267878, 18.87
9009, 0.372502, 0.138864, 0.148133, 0.139523, 0.119594, 0.063213, 0.018171, 0.537494, 0.18573, 0.589818, 0.386671, 18.65
9010, 0.395009, 0.135221, 0.143033, 0.127482, 0.120129, 0.062586, 0.01654, 0.611538, 0.097856, 0.692093, 0.356972, 18.93
9011, 0.386397, 0.138981, 0.140556, 0.136214, 0.118862, 0.063911, 0.01508, 0.604432, 0.289957, 0.542717, 0.230696, 17.92
9012, 0.381366, 0.135892, 0.148127, 0.133795, 0.120272, 0.064285, 0.016264, 0.608832, 0.29384, 0.55285, 0.225432, 18.03
9013, 0.374003, 0.1389, 0.148662, 0.134995, 0.120628, 0.064983, 0.01783, 0.556569, 0.353374, 0.602527, 0.249621, 20.08
