number, whites, reds, blues, greens, yellows, magentas, blacks, overlaps, density, texture, drips, weight
3001, 0.338446, 0.173893, 0.182978, 0.119731, 0.097668, 0.07798, 0.009304, 0.765643, 0.714364, 0.767427, 0.623433, 18.35
3002, 0.372237, 0.163112, 0.172101, 0.108495, 0.094275, 0.076463, 0.013318, 0.548831, 0.489904, 0.6349, 0.493969, 18.9
3003, 0.356231, 0.172235, 0.174778, 0.121772, 0.093185, 0.071478, 0.010321, 0.685568, 0.55764, 0.739674, 0.612494, 20.38
3004, 0.363447, 0.168034, 0.180313, 0.106953, 0.097144, 0.076144, 0.007965, 0.550138, 0.619771, 0.768389, 0.51202, 20.3
3005, 0.352046, 0.173504, 0.176701, 0.115713, 0.095396, 0.0769, 0.00974, 0.448174, 0.406249, 0.583083, 0.489001, 18.1
3006, 0.327328, 0.183428, 0.184013, 0.121949, 0.100254, 0.07325, 0.009776, 0.658405, 0.578403, 0.796135, 0.635243, 19.17
3007, 0.340557, 0.180709, 0.182884, 0.115104, 0.100158, 0.070231, 0.010357, 0.549879, 0.626435, 0.737581, 0.603688, 18.42
3008, 0.388978, 0.174337, 0.161421, 0.106386, 0.08792, 0.07101, 0.009948, 0.459672, 0.564723, 0.716299, 0.496879, 20.69
3009, 0.344962, 0.17601, 0.178302, 0.119674, 0.099674, 0.071295, 0.010083, 0.578083, 0.607114, 0.804717, 0.682582, 17.74
3010, 0.3482, 0.172808, 0.178492, 0.122654, 0.101581, 0.067075, 0.009189, 0.527238, 0.707502, 0.734996, 0.477041, 18.09
3011, 0.353598, 0.172503, 0.174211, 0.113252, 0.103153, 0.073619, 0.009663, 0.742902, 0.64138, 0.754342, 0.542507, 23.6
3012, 0.376847, 0.158617, 0.169839, 0.110995, 0.094932, 0.077255, 0.011516, 0.525719, 0.636022, 0.625536, 0.356792, 19.31
3013, 0.364954, 0.169328, 0.176016, 0.11591, 0.094715, 0.06827, 0.010807, 0.602386, 0.558864, 0.668742, 0.568278, 18
3014, 0.362896, 0.164481, 0.174221, 0.116111, 0.094062, 0.071005, 0.017224, 0.41914, 0.41326, 0.566199, 0.460424, 19.23
