ID, Name, Background, Body, Feathers, Beak, Eyes, Eyewear, Headwear, Outfit
73, #73, Gray, Tabby, Gray, Small, Side-Eye, , Burger King Hat, Burger King Uniform
74, #74, Pink, Tabby, Black, Small, Adorable, , McDonald's Hat, 
75, #75, Green, Crescent, Blue, Long, Open, , McDonald's Visor, McDonalds Shirt
76, #76, Blue, Tabby, Brown, Short, , Gazelles, Walmart Hat, 
77, #77, Green, Crescent, White, Small, Angry, , Taco, 
78, #78, Gray, Tranquil, Red, Short, Angry, , Wendy's Hat, McDonalds Shirt
79, #79, Green, Crescent, Pink, Short, Relaxed, , Ice Cream, McDonalds Shirt
80, #80, Yellow, Sage, Black, Long, Open, , Popcorn, Walmart Shirt
81, #81, Green, Tranquil, Brown, Small, Side-Eye, , McDonald's Box Hat, McDonalds Polo
82, #82, Green, Tranquil, Red, Small, Open, , Popcorn, McDonalds Polo
83, #83, Yellow, Crescent, Black, Short, , Visor, Popcorn, Burger King Uniform
84, #84, Green, Crescent, Brown, Small, Angry, , In-N-Out Burger Hat, KFC Shirt
85, #85, Purple, Tranquil, White, Short, Discerning, , Ice Cream, McDonalds Shirt
86, #86, Green, Crescent, Pink, Short, Angry, , Vintage McDonald's Hat, McDonalds Shirt
87, #87, Blue, Crescent, Pink, Short, Open, , Taco, Dominos Shirt
88, #88, Pink, Crescent, Purple, Short, Side-Eye, , Walmart Hat 2, McDonalds Polo
89, #89, Green, Stark, Gray, Short, Discerning, , Dunkin' Donuts Visor, McDonalds Shirt
90, #90, Blue, Crescent, Blue, Short, Angry, , KFC Bucket Hat, 
91, #91, Green, Tranquil, Pink, Small, Side-Eye, , Burger King Visor, Dominos Shirt
92, #92, Gray, Tabby, Brown, Small, Fire, , KFC Bucket Hat, KFC Shirt
93, #93, Blue, Crescent, Gray, Small, Open, , Wendy's Hat, 
94, #94, Pink, Stark, Red, Short, Angry, , McDonald's Visor, 
95, #95, Yellow, Crescent, White, Short, Angry, , McDonald's Hat, Subway Shirt
96, #96, Green, Crescent, Gray, Small, Relaxed, , McDonald's Hat, 
97, #97, Yellow, Crescent, Black, Small, Open, , Dominos Hat, Burger King Uniform
98, #98, Green, Stark, Brown, Small, Heart, , Hooters Hat, McDonalds Shirt
99, #99, Blue, Tranquil, Purple, Small, Heart, , McDonald's Bucket Hat, 
100, #100, Purple, Tranquil, Green, Small, Open, , Denny's Hat, Starbucks Apron
101, #101, Green, Crescent, Gray, Small, Open, , Wendy's Hat, McDonalds Polo
102, #102, Gray, Stark, Gray, Short, Angry, , Pizza Hut Hat, 
103, #103, Yellow, Crescent, Brown, Small, Relaxed, , McDonald's Hat, 
104, #104, Green, Crescent, White, Long, Open, , , McDonalds Polo
105, #105, Gray, Stark, Red, Short, Discerning, , Walmart Hat, Taco Bell Shirt
106, #106, Gray, Crescent, Pink, Short, Angry, , Taco Bell Hat, KFC Shirt
107, #107, Yellow, Tranquil, Green, Small, Discerning, , McDonald's Hat, 
108, #108, Blue, Stark, Pink, Small, Discerning, , McDonald's Bucket Hat, Dominos Shirt
109, #109, Yellow, Crescent, Black, Small, Side-Eye, , McDonald's Bucket Hat, Janitor Shirt
110, #110, Blue, Skeleton, Bone, Long, Relaxed, , KFC Hat, 
111, #111, Purple, Tranquil, Blue, Short, Moon, , Taco, Janitor Shirt
112, #112, Blue, Professor, Black, Short, Side-Eye, , Popcorn, Burger King Uniform
113, #113, Gray, Crescent, Pink, Small, Relaxed, , Ben & Jerry's Bucket Hat, McDonalds Shirt
114, #114, Purple, Crescent, Pink, Small, Open, , Burger King Hat, Walmart Shirt
115, #115, Purple, Tranquil, Gray, Short, Open, , McDonald's Bucket Hat, Dominos Shirt
116, #116, Yellow, Professor, Gray, Small, Open, , Chick-fil-A Hat, 
117, #117, Green, Crescent, Gray, Small, Open, , Hamburger, Taco Bell Shirt
118, #118, Gray, Crescent, White, Short, Relaxed, , Denny's Hat, Starbucks Apron
119, #119, Gray, Tabby, Black, Small, Side-Eye, , Walmart Hat, Taco Bell Shirt
120, #120, Gray, Tabby, Blue, Short, , Sunglasses, KFC Hat, Burger King Uniform
121, #121, Yellow, Professor, Green, Small, Fire, , Sushi Headband, McDonalds Polo
122, #122, Green, Crescent, Purple, Long, Relaxed, , Hooters Hat, Janitor Shirt
123, #123, Pink, Stark, White, Short, Discerning, , McDonald's Visor, Subway Shirt
124, #124, Pink, Crescent, Brown, Small, Discerning, , In-N-Out Burger Hat, Burger King Uniform
125, #125, Pink, Guardian, Blue, Small, Relaxed, , Subway Visor, Janitor Shirt
126, #126, Pink, Stark, Purple, Small, Adorable, , Denny's Hat, Taco Bell Shirt
127, #127, Yellow, Brave, Purple, Short, Side-Eye, , McDonald's Box Hat, McDonalds Shirt
128, #128, Gray, Stark, White, Small, Angry, , Walmart Hat, 
129, #129, Green, Crescent, Gray, Small, Side-Eye, , Burger King Hat, McDonalds Shirt
130, #130, Gray, Guardian, Gray, Long, Open, , , Janitor Shirt
131, #131, Yellow, Crescent, Red, Small, Open, , Walmart Hat 2, Starbucks Apron
132, #132, Pink, Crescent, Red, Short, Open, , Sushi Headband, Taco Bell Shirt
133, #133, Green, Crescent, Black, Short, Side-Eye, , Chick-fil-A Hat, 
134, #134, Yellow, Stark, Brown, Small, Fire, , Ben & Jerry's Bucket Hat, KFC Shirt
135, #135, Pink, Tranquil, Green, Short, Relaxed, , Taco Bell Hat, Dominos Shirt
136, #136, Blue, Crescent, Red, Small, Discerning, , , Dominos Shirt
137, #137, Green, Sage, Purple, Short, Angry, , Dunkin' Donuts Hat, Starbucks Apron
138, #138, Green, Crescent, Pink, Long, Discerning, , Walmart Hat 2, Walmart Shirt
139, #139, Blue, Crescent, Green, Long, Open, , Walmart Hat, Burger King Uniform
140, #140, Gray, Crescent, Blue, Short, Relaxed, , In-N-Out Burger Hat, Subway Shirt
141, #141, Gray, Crescent, Red, Short, Relaxed, , Subway Visor 2, 
142, #142, Yellow, Crescent, Red, Short, Side-Eye, , In-N-Out Burger Hat, Burger King Uniform
143, #143, Blue, Crescent, Blue, Long, Discerning, , KFC Bucket Hat, Janitor Shirt
144, #144, Pink, Emperor, Pink, Short, Discerning, , Burger King Hat, Taco Bell Shirt
145, #145, Gray, Professor, Red, Small, Angry, , , McDonalds Polo
146, #146, Gray, Brave, Purple, Long, Relaxed, , McDonald's Bucket Hat, Burger King Uniform
147, #147, Green, Tabby, White, Small, Adorable, , Ben & Jerry's Bucket Hat, 
148, #148, Green, Tranquil, White, Short, Discerning, , KFC Hat, 
149, #149, Green, Emperor, Pink, Short, Open, , , KFC Shirt
150, #150, Pink, Professor, Blue, Small, Open, , , McDonalds Polo
151, #151, Blue, Stark, Red, Small, Angry, , Walmart Hat 2, Taco Bell Shirt
152, #152, Yellow, Crescent, White, Small, Angry, , Pizza Hut Hat, Subway Shirt
153, #153, Green, Crescent, Brown, Short, Angry, , KFC Hat, Burger King Uniform
154, #154, Purple, Crescent, Gray, Long, Open, , , KFC Shirt
155, #155, Pink, Sage, Pink, Small, Relaxed, , Walmart Hat, Dominos Shirt
156, #156, Pink, Tabby, Gray, Long, Angry, , McDonald's Hat, Dominos Shirt
157, #157, Green, Stark, Pink, Small, Relaxed, , Dunkin' Donuts Hat, McDonalds Polo
158, #158, Yellow, Tranquil, Red, Small, Open, , McDonald's Hat, McDonalds Polo
159, #159, Gray, Crescent, Green, Small, Side-Eye, , McDonald's Visor, Subway Shirt
160, #160, Green, Crescent, White, Short, Angry, , McDonald's Visor, 
161, #161, Green, Stark, Purple, Short, Discerning, , Starbucks Hat, Taco Bell Shirt
162, #162, Yellow, Crescent, Blue, Short, Open, , Denny's Hat, Dominos Shirt
163, #163, Green, Crescent, Gray, Short, Angry, , Burger King Hat, Taco Bell Shirt
164, #164, Blue, Emperor, Red, Small, Open, , KFC Hat, Burger King Uniform
165, #165, Green, Sage, Brown, Small, Side-Eye, , Walmart Hat, McDonalds Polo
166, #166, Blue, Crescent, Green, Small, Open, , Denny's Hat, McDonalds Polo
167, #167, Purple, Crescent, White, Short, Relaxed, , Sushi, Walmart Shirt
168, #168, Blue, Tabby, Black, Small, Open, , Dunkin' Donuts Hat, 
169, #169, Purple, Sage, Brown, Small, Fire, , McDonald's Bucket Hat, 
170, #170, Pink, Tranquil, White, Small, Side-Eye, , , Burger King Uniform
171, #171, Purple, Stark, Black, Short, Adorable, , Walmart Hat 2, Dominos Shirt
172, #172, Blue, Guardian, Green, Short, Relaxed, , McDonald's Hat, 
173, #173, Pink, Crescent, Pink, Small, Open, , Walmart Hat, McDonalds Shirt
174, #174, Green, Skeleton, Bone, Short, Discerning, , Twin Peaks Hat, 
175, #175, Yellow, Guardian, White, Long, Open, , KFC Hat, 
176, #176, Purple, Brave, Green, Small, Side-Eye, , Wendy's Hat, 
177, #177, Purple, Guardian, Gray, Short, Discerning, , McDonald's Box Hat, McDonalds Shirt
178, #178, Yellow, Crescent, Black, Short, Discerning, , Taco Bell Hat, Taco Bell Shirt
179, #179, Green, Tabby, White, Short, Side-Eye, , McDonald's Visor, KFC Shirt
180, #180, Green, Crescent, Blue, Short, Discerning, , Pizza Hut Hat, 
181, #181, Pink, Stark, Brown, Small, Open, , In-N-Out Burger Hat, McDonalds Polo
182, #182, Blue, Emperor, Purple, Small, Discerning, , Wendy's Hat, Janitor Shirt
183, #183, Pink, Crescent, Red, Small, Angry, , Twin Peaks Hat, Subway Shirt
184, #184, Blue, Stark, Purple, Short, Relaxed, , Dunkin' Donuts Visor, Burger King Uniform
185, #185, Yellow, Crescent, White, Small, Discerning, , Dunkin' Donuts Hat, Dominos Shirt
186, #186, Gray, Brave, Brown, Long, Open, , McDonald's Visor, Walmart Shirt
187, #187, Blue, Robot, Metal, Small, Open, , Pizza Hut Hat, Starbucks Apron
188, #188, Blue, Sage, Pink, Short, Relaxed, , Taco Bell Hat, Taco Bell Shirt
189, #189, Blue, Sage, Red, Short, Discerning, , Walmart Hat, 
190, #190, Purple, Stark, Red, Long, Angry, , KFC Bucket Hat, Burger King Uniform
191, #191, Gray, Crescent, White, Long, Relaxed, , Subway Visor 2, 
192, #192, Purple, Tabby, Brown, Short, Adorable, , McDonald's Box Hat, 
193, #193, Purple, Tranquil, Gray, Small, Angry, , Dominos Hat, McDonalds Shirt
194, #194, Gray, Tranquil, Black, Small, Side-Eye, , Walmart Hat, KFC Shirt
195, #195, Blue, Tabby, Pink, Long, Open, , In-N-Out Burger Hat, 
196, #196, Yellow, Crescent, Brown, Small, Side-Eye, , In-N-Out Burger Hat, Walmart Shirt
197, #197, Green, Tranquil, Gray, Small, Discerning, , KFC Hat, Subway Shirt
198, #198, Blue, Crescent, Blue, Small, Open, , Dominos Hat, Subway Shirt
199, #199, Green, Crescent, White, Long, Rainbow, , Hooters Hat, 
200, #200, Green, Crescent, Brown, Small, Open, , McDonald's Hat, McDonalds Shirt
201, #201, Green, Professor, Green, Short, Open, , Starbucks Hat, Taco Bell Shirt
202, #202, Gray, Crescent, Gray, Small, Heart, , Denny's Hat, Burger King Uniform
203, #203, Blue, Stark, Green, Long, Relaxed, , Burger King Visor, McDonalds Polo
204, #204, Blue, Stark, Purple, Long, Fire, , Chick-fil-A Hat, Taco Bell Shirt
205, #205, Gray, Brave, Blue, Long, Open, , Walmart Hat 2, Starbucks Apron
206, #206, Pink, Brave, Gray, Short, Open, , , Janitor Shirt
207, #207, Yellow, Crescent, Green, Long, Angry, , , McDonalds Shirt
208, #208, Green, Tranquil, Brown, Long, Side-Eye, , , Burger King Uniform
209, #209, Blue, Guardian, White, Small, Angry, , Twin Peaks Hat, Janitor Shirt
210, #210, Yellow, Guardian, Pink, Long, Open, , Dominos Hat, Burger King Uniform
211, #211, Green, Crescent, Pink, Small, Angry, , Walmart Hat, Janitor Shirt
212, #212, Blue, Stark, Brown, Small, Open, , Sushi, Taco Bell Shirt
213, #213, Green, Professor, Gray, Small, Angry, , , Walmart Shirt
214, #214, Purple, Guardian, Green, Small, Relaxed, , Ben & Jerry's Bucket Hat, Taco Bell Shirt
215, #215, Green, Brave, Red, Long, Moon, , Chick-fil-A Hat, 
216, #216, Purple, Stark, White, Short, , Sunglasses, , McDonalds Polo
217, #217, Blue, Stark, Black, Small, Angry, , , Burger King Uniform
218, #218, Yellow, Crescent, Green, Long, Angry, , Walmart Hat, KFC Shirt
219, #219, Gray, Crescent, Pink, Short, Open, , Subway Visor, Taco Bell Shirt
220, #220, Yellow, Crescent, Purple, Long, Fire, , McDonald's Hat, Taco Bell Shirt
221, #221, Purple, Tranquil, Gray, Long, Rainbow, , Twin Peaks Hat, 
222, #222, Green, Stark, Pink, Short, , Black-rimmed Glasses, McDonald's Hat, Burger King Uniform
223, #223, Green, Professor, Green, Short, Angry, , Dunkin' Donuts Visor, 
224, #224, Pink, Crescent, Black, Short, Fire, , , McDonalds Shirt
225, #225, Green, Tabby, White, Short, Side-Eye, , Subway Visor, KFC Shirt
226, #226, Blue, Robot, Metal, Short, Open, , , Ronald McDonald
227, #227, Blue, Guardian, Purple, Small, , Visor, Popcorn, Taco Bell Shirt
228, #228, Yellow, Crescent, Red, Small, Moon, , , McDonalds Polo
229, #229, Blue, Guardian, Blue, Long, Relaxed, , Hamburger, 
230, #230, Pink, Guardian, Red, Short, Open, , Ben & Jerry's Bucket Hat, Burger King Uniform
231, #231, Blue, Stark, White, Small, Open, , Dunkin' Donuts Hat, 
232, #232, Pink, Crescent, White, Short, Open, , , Taco Bell Shirt
233, #233, Purple, Crescent, Black, Small, Discerning, , Dunkin' Donuts Hat, Janitor Shirt
234, #234, Jade Green, Jade, Legendary Professor, , , , , McDonalds Polo
235, #235, Blue, Tranquil, Black, Short, Angry, , Burger King Hat, 
236, #236, Pink, Crescent, Purple, Short, Open, , Dominos Hat, Dominos Shirt
237, #237, Green, Brave, Purple, Small, Open, , Dominos Hat, Subway Shirt
238, #238, Yellow, Stark, Pink, Short, Open, , Twin Peaks Hat, 
239, #239, Green, Brave, Purple, Small, Relaxed, , Subway Visor 2, 
240, #240, Yellow, Tabby, Gray, Short, Relaxed, , McDonald's Hat, Subway Shirt
241, #241, Yellow, Brave, Pink, Long, Open, , Walmart Hat, Burger King Uniform
242, #242, Purple, Crescent, Brown, Short, , Gazelles, Twin Peaks Hat, Dominos Shirt
243, #243, Purple, Brave, Purple, Small, Adorable, , , McDonalds Polo
244, #244, Gray, Crescent, Black, Short, Discerning, , McDonald's Bucket Hat, Subway Shirt
245, #245, Blue, Brave, Red, Short, Discerning, , , Starbucks Apron
246, #246, Pink, Tranquil, Purple, Small, Discerning, , Starbucks Hat, 
247, #247, Gray, Emperor, Pink, Small, Open, , Taco Bell Hat, Burger King Uniform
248, #248, Pink, Crescent, Gray, Short, Relaxed, , Ice Cream Cone, 
249, #249, Gray, Crescent, Brown, Short, Open, , Burger King Visor, Janitor Shirt
250, #250, Purple, Stark, White, Short, Open, , , Taco Bell Shirt
251, #251, Pink, Crescent, Gray, Small, Side-Eye, , Starbucks Hat, McDonalds Shirt
252, #252, Green, Crescent, Red, Small, Side-Eye, , Walmart Hat, 
253, #253, Gray, Professor, Green, Short, Open, , McDonald's Bucket Hat, Burger King Uniform
254, #254, Yellow, Tabby, Black, Short, Adorable, , McDonald's Visor, Dominos Shirt
255, #255, Green, Stark, Red, Short, Open, Half-moon Spectacles, Dunkin' Donuts Hat, Janitor Shirt
256, #256, Gray, Tranquil, Red, Short, Discerning, Monocle, Burger King Visor, McDonalds Shirt
257, #257, Yellow, Brave, Gray, Short, Open, , McDonald's Box Hat, Taco Bell Shirt
258, #258, Green, Tabby, Purple, Small, Angry, , Burger King Hat, McDonalds Polo
259, #259, Yellow, Tranquil, Green, Short, Side-Eye, , Walmart Hat, 
260, #260, Purple, Tranquil, White, Short, Heart, , Dominos Hat, McDonalds Polo
261, #261, Pink, Crescent, Green, Short, Heart, , , Janitor Shirt
262, #262, Yellow, Tabby, Gray, Small, Open, , Twin Peaks Hat, Janitor Shirt
263, #263, Blue, Sage, Green, Short, Angry, , , McDonalds Polo
264, #264, Pink, Professor, Purple, Small, Side-Eye, , McDonald's Bucket Hat, McDonalds Shirt
265, #265, Gray, Guardian, White, Long, Relaxed, , , KFC Shirt
266, #266, Blue, Crescent, Red, Short, Discerning, , Burger King Hat, 
267, #267, Blue, Crescent, Blue, Short, Discerning, , Dunkin' Donuts Hat, 
268, #268, Pink, Professor, Brown, Long, Side-Eye, , Chick-fil-A Hat, McDonalds Shirt
269, #269, Yellow, Crescent, Purple, Long, Discerning, , Walmart Hat, KFC Shirt
270, #270, Blue, Crescent, Pink, Small, Relaxed, , McDonald's Visor, Taco Bell Shirt
271, #271, Blue, Guardian, Green, Small, Open, , Taco, Janitor Shirt
272, #272, Gray, Tabby, Red, Short, Angry, , Subway Visor, Dominos Shirt
273, #273, Yellow, Tabby, Pink, Short, Relaxed, , Chick-fil-A Hat, 
274, #274, Pink, Tranquil, Blue, Short, Open, , Dunkin' Donuts Hat, 
275, #275, Green, Stark, Gray, Small, Discerning, , Wendy's Hat, 
276, #276, Purple, Tabby, Green, Short, Open, , Denny's Hat, Janitor Shirt
277, #277, Yellow, Guardian, Green, Small, Open, , Burger King Visor, McDonalds Shirt
278, #278, Purple, Professor, White, Small, Open, , Burger King Visor, Subway Shirt
279, #279, Pink, Tabby, Gray, Short, Relaxed, , Ben & Jerry's Bucket Hat, 
280, #280, Pink, Skeleton, Bone, Small, Open, , In-N-Out Burger Hat, 
281, #281, Purple, Crescent, White, Long, Angry, , Pizza Hut Hat, McDonalds Shirt
282, #282, Pink, Tabby, White, Small, Relaxed, , Hooters Hat, Burger King Uniform
283, #283, Green, Stark, Pink, Small, Angry, , , Janitor Shirt
284, #284, Blue, Crescent, Brown, Long, Relaxed, , McDonald's Bucket Hat, Burger King Uniform
285, #285, Yellow, Crescent, Red, Short, , Sunglasses, Burger King Visor, 
286, #286, Purple, Tranquil, Gray, Small, Open, , Walmart Hat, 
287, #287, Green, Tabby, Brown, Short, Relaxed, , Dunkin' Donuts Hat, Burger King Uniform
288, #288, Purple, Crescent, Brown, Short, Discerning, , , KFC Shirt
289, #289, Gray, Crescent, White, Long, Diamond, , , KFC Shirt
290, #290, Purple, Crescent, Blue, Small, Side-Eye, , Twin Peaks Hat, Subway Shirt
291, #291, Blue, Crescent, Pink, Small, Open, , McDonald's Bucket Hat, Burger King Uniform
